profile,side,iteration,shoulder_number_of_velocity_peaks,elbow_number_of_velocity_peaks,wrist_number_of_velocity_peaks,shoulder_ratio_mean_peak_velocity,elbow_ratio_mean_peak_velocity,wrist_ratio_mean_peak_velocity,shoulder_mean_velocity,elbow_mean_velocity,wrist_mean_velocity,shoulder_peak_velocity,elbow_peak_velocity,wrist_peak_velocity,shoulder_sparc,elbow_sparc,wrist_sparc,shoulder_jerk,elbow_jerk,wrist_jerk,shoulder_movement_time,elbow_movement_time,wrist_movement_time,shoulder_percentage_time_to_peak_velocity,elbow_percentage_time_to_peak_velocity,wrist_percentage_time_to_peak_velocity,trunk_rom,shoulder_rom,elbow_rom,target_error_distance,hand_path_ratio
1,0,1,8,8,8,0.470300285,0.456336014,0.400846459,2.417791591,2.915154214,0.038375843,5.140952851,6.388174782,0.095737014,-3.349092484,-2.936809443,-2.414713892,-14.96219854,-14.11104557,-13.37524529,1.978911161,1.978911161,1.978911161,4.809645121,4.809645121,67.44186103,0.270080831,2.336339105,2.01088934,0.028542723,1.919653906
1,0,2,6,8,9,0.334807826,0.449383371,0.253791365,1.832462313,1.853618953,0.018335789,5.473176462,4.124805396,0.072247491,-4.286034512,-3.123149055,-2.049501291,-15.29441391,-14.32288786,-13.89079141,1.981311321,1.981311321,1.981311321,28.0680829,12.01079827,37.46254914,0.535117225,1.332994393,1.35285098,0.01288252,1.80838886
1,0,3,7,6,8,0.362852748,0.477173491,0.287847642,2.446241831,2.124767176,0.017278994,6.741692997,4.452818975,0.060028262,-3.24901253,-2.67336921,-2.799061709,-14.65999202,-13.72240775,-14.06657028,1.958696365,1.958696365,1.958696365,43.23872041,43.23872041,31.26632915,0.779084769,2.119014928,1.13850611,0.011564546,1.79186593
1,0,4,8,6,7,0.286885962,0.24255654,0.315373491,2.121587132,2.638237794,0.025282319,7.395228103,10.87679514,0.080166277,-3.676407379,-3.606398024,-2.773544275,-14.83126374,-13.86566531,-13.42691865,1.962471247,1.962471247,1.962471247,100,100,56.82774604,0.394711055,1.529754634,1.972159733,0.022034545,1.565074497
1,0,5,8,7,5,0.275348756,0.23006893,0.209484517,2.245442313,2.680249381,0.033541711,8.15490269,11.64976678,0.160115467,-4.159337008,-4.052258426,-2.748855219,-14.74851857,-14.10816737,-13.21128313,1.962319374,1.962319374,1.962319374,17.09739454,14.82759869,12.49773406,0.532390679,1.784648559,3.096335396,0.012258227,2.614734412
1,0,6,8,8,7,0.223458592,0.30704321,0.240218925,5.09773601,3.985582931,0.040842854,22.8128888,12.98052783,0.170023464,-4.117032126,-3.821050069,-3.917331434,-15.29428003,-13.47847217,-13.21710069,1.990653276,1.990653276,1.990653276,81.45466653,81.45466653,4.686561497,0.640611969,5.788703687,4.27824285,0.021052415,5.220906753
1,0,7,9,7,7,0.251336064,0.383377899,0.419211355,4.204762213,2.824863097,0.029363365,16.7296414,7.368351454,0.070044299,-2.640466326,-2.745544337,-2.612611395,-15.15739618,-13.76305826,-13.8499426,1.935256958,1.935256958,1.935256958,73.90218818,26.06576818,26.06576818,0.38752527,5.50352218,3.664673709,0.02685096,1.600587196
1,0,8,8,7,6,0.269324307,0.322271443,0.284607678,2.806038199,2.45763624,0.013414087,10.41880783,7.625982054,0.04713185,-2.481450541,-2.349862417,-3.023014926,-16.18238803,-14.0144551,-14.56868572,1.958284378,1.958284378,1.958284378,40.51622667,40.51622667,26.15218101,0.282655653,2.604022787,2.488282651,0.015686578,3.997783546
1,0,9,7,8,8,0.382836964,0.388485485,0.206364557,1.793210718,2.021459678,0.013749916,4.68400621,5.203436818,0.066629253,-3.109809559,-2.987336832,-5.648596388,-15.91575937,-14.65723198,-14.99946864,1.967553139,1.967553139,1.967553139,71.47833461,92.81772977,16.59605386,0.029736851,0.811484575,1.327576602,0.015032418,2.105082148
1,0,10,8,8,7,0.467019491,0.429364321,0.333548883,3.631512639,3.081823665,0.025314717,7.775933793,7.177642649,0.075895072,-2.830626025,-2.674594966,-2.207571781,-14.23183925,-13.33579189,-13.75946513,1.948096514,1.948096514,1.948096514,30.93030408,45.36266406,23.77604499,0.878586372,1.251194693,1.813749545,0.020027373,1.196378934
1,0,11,7,6,9,0.289750201,0.274081446,0.155176664,10.02155271,8.439977087,0.009509048,34.58687058,30.79368275,0.061278853,-2.922319968,-3.197262548,-2.437711958,-15.13560081,-14.13805195,-14.96837805,1.9484694,1.9484694,1.9484694,30.80871604,30.80871604,30.80871604,0.261079756,4.721477746,4.018391859,0.020490228,1.714985851
1,0,12,7,7,8,0.186904739,0.162279217,0.337419827,8.999559876,7.23485998,0.026183107,48.15051739,44.58278843,0.077598009,-3.030054085,-3.043736397,-3.280843174,-14.59806332,-15.03191235,-13.81238985,1.967730284,1.967730284,1.967730284,38.44484948,38.44484948,38.44484948,0.662285649,4.513729201,3.642323121,0.019989724,8.427558995
